Candidate,Cell_Viability,Necrosis,Cytoplasm_area,Cell_Death,Nuclei_Area,Bioactivity
Compound_I-G-49,10.49157645,48.18299823,11.19525212,16.98008488,18.84660567,0.084805026
Compound_I-G-50,9.084453985,30.46252028,6.71555921,12.82729288,15.40500164,0.073825537
Compound_I-G-51,7.948354103,27.84455748,9.287912715,14.4993812,15.9488945,0.071260087
Compound_I-G-52,10.40116534,38.67090553,8.571296131,15.13734934,17.41480016,0.064508174
Compound_I-G-53,15.69881831,70.38042214,16.73089211,26.15290942,27.55357047,0.080082013
Compound_I-G-54,9.991343837,31.22918909,8.467796345,14.2093827,18.6099984,0.079412889
Compound_I-G-57,10.43413703,43.80357774,9.276233629,13.73901493,17.33682128,0.086679415
Compound_I-G-58,9.891691726,33.26084845,6.974508015,12.44686591,15.53061491,0.081685569
Compound_I-G-59,8.325633966,28.54304285,7.630836676,9.325945828,14.42920263,0.087306356
Compound_I-G-60,8.635701761,26.47391193,7.306051655,9.509442647,14.24757356,0.087220589
Compound_I-G-61,8.329913104,29.07753056,7.139843623,12.22662312,14.99063319,0.084290186
Compound_I-G-62,10.95787844,32.66852408,7.639754689,12.04928486,20.55604972,0.061988737
Compound_I-G-63,22.18891771,1613.413998,31.12002978,89.31334508,70.7778044,0.102954354
Compound_I-G-64,9.742007989,35.19619625,8.453922459,12.9355982,15.79704919,0.076265633
Compound_I-G-65,8.39722338,31.53333463,7.54288217,11.02819174,18.57836137,0.072024523
Compound_I-G-66,6.501039124,21.74123202,5.751612099,8.481523949,11.77281453,0.067405743
Compound_I-G-74;Compound_I-G-67,19.35239359,753.4143327,41.60128989,91.36120343,60.11207995,0.165510479
Compound_I-G-68,8.045650542,28.33841645,7.75237514,11.82758452,14.88344421,0.081933386
Compound_I-G-69,8.481308721,33.67786942,8.223641188,12.15679002,16.96438016,0.069304158
Compound_I-G-70,9.190658771,38.87455485,7.671452722,14.82168491,17.18544358,0.076760039
Compound_I-G-71,9.657063494,40.92577551,7.55383194,14.08759544,18.34107064,0.076592371
Compound_I-G-73,21.35628286,2131.203897,50.94567548,121.127228,77.62845482,0.132578206
Compound_I-G-75,26.08790985,2160.792554,44.40014875,138.4595055,68.71025245,0.09737327
Compound_I-G-76,23.04501453,7012.206856,45.40213494,130.2951316,76.43988215,0.175271324
Compound_I-G-77,20.75727723,3209.0396,40.57589331,119.4475444,81.08320541,0.134580989
Compound_I-G-78,25.80908751,5201.611311,44.47087051,126.7918986,73.62399507,0.167451962
Compound_I-G-79,26.17182807,1875.250826,39.54934431,124.4148164,71.97401326,0.122660064
Compound_I-G-80,22.97408036,1418.429871,43.13894333,112.6491788,70.84691629,0.152941283
Compound_I-G-81,22.74086658,6500.361045,40.37919214,118.4569215,74.22191985,0.218038768
Compound_I-G-82,18.26439924,853.8745447,36.23645882,84.78450907,64.57484271,0.166792039
Compound_I-G-83,22.99115404,1358.315864,50.13417615,123.2041955,86.05679235,0.140416925
Compound_I-G-84,20.45052544,1511.869935,29.13409999,84.51327418,49.39550523,0.121863864
Compound_I-G-85,27.61989946,4900.911799,44.4508361,154.6948494,88.72205163,0.097096335
Compound_I-G-86,27.81610185,6769.695547,50.85483797,168.1007647,91.78358821,0.172623045
Compound_I-G-87,6.54193607,20.71235958,5.9847619,8.37157906,11.43535077,0.059486115
Compound_I-G-88,18.76286713,2032.450736,29.89042084,83.84745353,57.27826796,0.119338831
Compound_I-G-89,26.83169306,19615.35049,46.50900095,158.3397065,84.12546077,0.173586638
Compound_I-G-90,18.60109946,1854.163397,28.18103716,83.81040333,49.81075469,0.113390608
Compound_I-G-91,23.77497658,2303.663921,41.06742535,113.1008283,61.43348773,0.167497193
Compound_I-G-92,8.980680402,37.75974068,5.115947447,12.45630388,10.75454283,0.092067245
Compound_I-G-93,28.6296403,1581.186009,37.10765131,119.6741308,62.67415926,0.134855703
Compound_I-G-94,25.78396575,2151.479478,35.74554632,102.5646791,62.05105052,0.145832337
Compound_I-G-95,10.16651765,35.99306708,7.067637814,11.70445605,15.7895727,0.069331542
Compound_I-G-96,9.701126568,34.68401439,4.481243117,11.6367919,12.33820014,0.086005713
Compound_I-G-98,28.026949,3130.874309,47.46281433,146.3744197,74.19832293,0.115287617
Compound_I-G-99,26.48796922,1218.21267,38.71725516,108.7841707,69.36420356,0.10746155
Compound_I-N-153,14.95568951,106.0645696,18.92984829,29.46992054,40.17846888,0.125182804
Compound_I-N-242,37.18138412,76556409.13,78.0983373,157.4044142,165.9813649,0.252349081
Compound_I-N-245,15.85818887,753.4367122,23.20712953,42.9168421,48.0467811,0.104933013
Compound_I-O-79,8.18342143,25.66612414,7.985783204,9.22682754,19.44429464,0.099032055
Compound_I-G-28,10.80509254,33.69230574,8.670087377,14.20032953,16.58036485,0.077474957
Compound_I-N-6,8.939807179,36.23770996,9.857135333,14.15875609,20.80004788,0.083299556
Compound_I-N-96,7.991191273,67.55350054,8.536772632,12.43854328,21.15854548,0.075031403
Compound_I-N-110,13.14840583,139.8245805,13.00857232,25.36645988,30.23087474,0.084880295
Compound_I-N-114,9.795791721,41.47040924,10.69302932,15.23058868,20.91316916,0.099857361
